Name,District_x,Population,Latitude,Longitude,Status,District_y,PopulationCensus1980-01-01,PopulationCensus1990-01-01,PopulationCensus2001-02-01,PopulationCensus2011-10-01,PopulationEstimate2019-01-01
Túrony,"Hungary, Baranya",populated place,N 45° 54' 9'',E 18° 13' 57'',Village,Siklós,290,258,251,272,242
Udvar,"Hungary, Baranya",populated place,N 45° 54' 2'',E 18° 39' 35'',Village,Mohács,266,214,196,141,103
Újpetre,"Hungary, Baranya",populated place,N 45° 56' 12'',E 18° 21' 45'',Village,Siklós,"1,168","1,036","1,153","1,029",935
Vajszló,"Hungary, Baranya","populated placepopulation 1,888",N 45° 51' 34'',E 17° 59' 2'',Large Village,Sellye,"1,873","1,956","1,944","1,812","1,709"
Várad,"Hungary, Baranya",populated place,N 45° 58' 27'',E 17° 44' 44'',Village,Szigetvár,184,153,132,111,120
Varga,"Hungary, Baranya",populated place,N 46° 14' 50'',E 18° 8' 35'',Village,Sásd,172,117,141,102,75
Vásárosbéc,"Hungary, Baranya",populated place,N 46° 10' 58'',E 17° 43' 27'',Village,Szigetvár,303,209,236,171,174
Vásárosdombó,"Hungary, Baranya",populated place,N 46° 18' 22'',E 18° 8' 1'',Village,Sásd,"1,279","1,172","1,158","1,107","1,048"
Vázsnok,"Hungary, Baranya",populated place,N 46° 15' 54'',E 18° 7' 29'',Village,Sásd,158,147,155,131,132
Vejti,"Hungary, Baranya",populated place,N 45° 48' 37'',E 17° 58' 15'',Village,Sellye,274,226,209,167,144
Vékény,"Hungary, Baranya",populated place,N 46° 16' 7'',E 18° 20' 29'',Village,Komló,216,187,154,135,131
Velény,"Hungary, Baranya",populated place,N 45° 58' 49'',E 18° 3' 12'',Village,Szentlőrinc,202,165,177,140,100
Véménd,"Hungary, Baranya",populated place,N 46° 9' 22'',E 18° 36' 55'',Village,Mohács,"2,018","1,824","1,702","1,398","1,315"
Versend,"Hungary, Baranya",populated place,N 45° 59' 46'',E 18° 30' 41'',Village,Bóly,"1,017",808,913,921,919
Villány,"Hungary, Baranya","populated placepopulation 2,738",N 45° 52' 8'',E 18° 27' 14'',Town,Siklós,"2,932","2,896","2,753","2,509","2,282"
Villánykövesd,"Hungary, Baranya",populated place,N 45° 52' 56'',E 18° 25' 31'',Village,Siklós,451,386,345,269,254
Vokány,"Hungary, Baranya",populated place,N 45° 54' 34'',E 18° 20' 10'',Village,Siklós,"1,099",997,952,851,817
Zádor,"Hungary, Baranya",populated place,N 45° 57' 33'',E 17° 39' 33'',Village,Szigetvár,490,408,381,310,311
Zaláta,"Hungary, Baranya",populated place,N 45° 48' 33'',E 17° 53' 28'',Village,Sellye,393,339,306,248,218
Zengővárkony,"Hungary, Baranya",populated place,N 46° 10' 21'',E 18° 25' 55'',Village,Pécsvárad,546,459,415,436,392
Zók,"Hungary, Baranya",populated place,N 46° 0' 33'',E 18° 5' 48'',Village,Szentlőrinc,307,276,284,307,294
Almáskamarás,"Hungary, Bekes County",populated place,N 46° 28' 0'',E 21° 6' 0'',Village,Mezőkovácsháza,"1,414","1,157",979,909,776
Battonya,"Hungary, Bekes County","populated placepopulation 6,604",N 46° 17' 0'',E 21° 1' 0'',Town,Mezőkovácsháza,"7,962","7,385","6,806","6,042","5,516"
Békés,"Hungary, Bekes County","seat of a first-order administrative divisionpopulation 59,732",N 46° 41' 0'',E 21° 6' 0'',Town,Békés,"22,265","22,098","21,663","20,088","18,322"
Békéscsaba,"Hungary, Bekes County","seat of a first-order administrative divisionpopulation 59,732",N 46° 41' 0'',E 21° 6' 0'',Town with County Rights,Békéscsaba,"68,044","67,157","67,968","62,050","58,996"
Békéssámson,"Hungary, Bekes County","populated placepopulation 2,581",N 46° 25' 0'',E 20° 38' 0'',Village,Orosháza,"2,957","2,577","2,637","2,425","2,289"
Békésszentandrás,"Hungary, Bekes County","populated placepopulation 4,103",N 46° 52' 0'',E 20° 29' 0'',Large Village,Szarvas,"4,487","4,174","4,107","3,696","3,436"
Bélmegyer,"Hungary, Bekes County",populated place,N 46° 52' 0'',E 21° 11' 0'',Village,Békés,"1,571","1,354","1,174","1,000",901
Biharugra,"Hungary, Bekes County",populated place,N 46° 58' 0'',E 21° 36' 0'',Village,Sarkad,"1,630","1,366","1,115",924,879
Bucsa,"Hungary, Bekes County","populated placepopulation 2,479",N 47° 12' 0'',E 21° 0' 0'',Village,Szeghalom,"2,777","2,406","2,518","2,197","2,144"
Csabacsűd,"Hungary, Bekes County",populated place,N 46° 50' 0'',E 20° 39' 0'',Large Village,Szarvas,"2,413","2,159","2,077","1,880","1,653"
Csabaszabadi,"Hungary, Bekes County",populated place,N 46° 34' 28'',E 20° 57' 5'',Village,Békéscsaba,568,452,391,331,246
Csanádapáca,"Hungary, Bekes County","populated placepopulation 2,811",N 46° 33' 0'',E 20° 53' 0'',Village,Orosháza,"3,427","2,982","2,879","2,637","2,366"
Csárdaszállás,"Hungary, Bekes County",populated place,N 46° 52' 0'',E 20° 56' 0'',Village,Gyomaendrőd,643,625,528,418,360
Csorvás,"Hungary, Bekes County","populated placepopulation 5,643",N 46° 38' 0'',E 20° 50' 0'',Town,Békéscsaba,"6,511","6,106","5,761","5,060","4,652"
Dévaványa,"Hungary, Bekes County","populated placepopulation 8,796",N 47° 2' 0'',E 20° 58' 0'',Town,Gyomaendrőd,"9,685","8,842","8,888","7,899","7,363"
Doboz,"Hungary, Bekes County","populated placepopulation 4,466",N 46° 44' 0'',E 21° 15' 0'',Large Village,Békéscsaba,"4,916","4,691","4,547","4,217","4,006"
Dombegyház,"Hungary, Bekes County","populated placepopulation 2,380",N 46° 20' 0'',E 21° 8' 0'',Large Village,Mezőkovácsháza,"2,854","2,541","2,396","2,003","1,954"
Dombiratos,"Hungary, Bekes County",populated place,N 46° 25' 0'',E 21° 7' 0'',Village,Mezőkovácsháza,"1,106",903,753,551,500
Ecsegfalva,"Hungary, Bekes County",populated place,N 47° 9' 0'',E 20° 55' 0'',Village,Gyomaendrőd,"1,761","1,531","1,429","1,275","1,164"
Elek,"Hungary, Bekes County","populated placepopulation 5,465",N 46° 32' 0'',E 21° 15' 0'',Town,Gyula,"5,756","5,582","5,480","4,927","4,513"
Füzesgyarmat,"Hungary, Bekes County","populated placepopulation 6,426",N 47° 6' 0'',E 21° 13' 0'',Town,Szeghalom,"6,486","6,372","6,428","5,734","5,527"
Gádoros,"Hungary, Bekes County","populated placepopulation 4,008",N 46° 40' 0'',E 20° 36' 0'',Large Village,Orosháza,"4,893","4,319","4,074","3,615","3,266"
Gerendás,"Hungary, Bekes County",populated place,N 46° 36' 0'',E 20° 52' 0'',Village,Békéscsaba,"1,879","1,704","1,565","1,314","1,187"
Geszt,"Hungary, Bekes County",populated place,N 46° 53' 0'',E 21° 35' 0'',Village,Sarkad,"1,093",948,877,790,744
Gyomaendrőd,"Hungary, Bekes County","seat of a second-order administrative divisionpopulation 15,194",N 46° 56' 0'',E 20° 50' 0'',Town,Gyomaendrőd,"17,811","16,495","15,381","13,680","12,784"
Gyula,"Hungary, Bekes County","seat of a second-order administrative divisionpopulation 32,269",N 46° 39' 0'',E 21° 17' 0'',Town,Gyula,"34,533","34,331","33,041","31,067","29,308"
Hunya,"Hungary, Bekes County",populated place,N 46° 49' 0'',E 20° 51' 0'',Village,Gyomaendrőd,"1,101",915,814,671,609
Kamut,"Hungary, Bekes CountyBékési Járás",populated place,N 46° 46' 0'',E 20° 59' 0'',Village,Békés,"1,537","1,292","1,161","1,071","1,025"
Kardos,"Hungary, Bekes County",populated placepopulation 682,N 46° 47' 52'',E 20° 43' 4'',Village,Szarvas,"1,118",910,793,655,562
Kardoskút,"Hungary, Bekes County",populated place,N 46° 29' 0'',E 20° 40' 0'',Village,Orosháza,969,908,976,884,781
Kaszaper,"Hungary, Bekes County","populated placepopulation 2,063",N 46° 28' 0'',E 20° 50' 0'',Village,Mezőkovácsháza,"2,439","2,150","2,110","1,969","1,772"
Kertészsziget,"Hungary, Bekes County",populated place,N 47° 9' 0'',E 21° 4' 0'',Village,Szeghalom,704,525,457,373,352
Kétegyháza,"Hungary, Bekes County","populated placepopulation 4,331",N 46° 32' 0'',E 21° 11' 0'',Large Village,Gyula,"4,811","4,525","4,354","3,808","3,303"
Kétsoprony,"Hungary, Bekes County",populated place,N 46° 43' 0'',E 20° 52' 0'',Village,Békéscsaba,"1,633","1,542","1,559","1,359","1,268"
Kevermes,"Hungary, Bekes County","populated placepopulation 2,401",N 46° 25' 0'',E 21° 11' 0'',Large Village,Mezőkovácsháza,"3,206","2,708","2,433","2,028","1,856"
Kisdombegyház,"Hungary, Bekes County",populated place,N 46° 22' 0'',E 21° 6' 0'',Village,Mezőkovácsháza,754,605,599,471,419
Kondoros,"Hungary, Bekes County","populated placepopulation 5,793",N 46° 46' 0'',E 20° 48' 0'',Town,Szarvas,"6,943","6,482","5,921","5,228","4,741"
Körösladány,"Hungary, Bekes County","populated placepopulation 5,006",N 46° 58' 0'',E 21° 5' 0'',Town,Szeghalom,"5,892","5,336","5,129","4,674","4,281"
Körösnagyharsány,"Hungary, Bekes County",populated place,N 47° 0' 0'',E 21° 39' 0'',Village,Sarkad,917,742,670,564,466
Köröstarcsa,"Hungary, Bekes County","populated placepopulation 2,786",N 46° 53' 0'',E 21° 2' 0'',Village,Békés,"3,190","2,917","2,809","2,589","2,316"
Körösújfalu,"Hungary, Bekes County",populated place,N 46° 58' 0'',E 21° 24' 0'',Village,Szeghalom,762,668,718,455,397
Kötegyán,"Hungary, Bekes County",populated place,N 46° 44' 0'',E 21° 29' 0'',Village,Sarkad,"1,844","1,708","1,578","1,451","1,336"
Kunágota,"Hungary, Bekes County","populated placepopulation 2,951",N 46° 26' 0'',E 21° 3' 0'',Village,Mezőkovácsháza,"3,766","3,197","2,983","2,777","2,462"
Lőkösháza,"Hungary, Bekes County","populated placepopulation 2,017",N 46° 26' 0'',E 21° 14' 0'',Village,Gyula,"2,233","2,128","2,040","1,825","1,663"
Magyarbánhegyes,"Hungary, Bekes County","populated placepopulation 2,634",N 46° 27' 0'',E 20° 58' 0'',Village,Mezőkovácsháza,"3,014","2,635","2,783","2,408","2,149"
Magyardombegyház,"Hungary, Bekes County",populated place,N 46° 23' 0'',E 21° 4' 0'',Village,Mezőkovácsháza,410,313,294,189,179
Medgyesbodzás,"Hungary, Bekes County",populated place,N 46° 31' 0'',E 20° 58' 0'',Village,Mezőkovácsháza,"1,588","1,369","1,247","1,107","1,010"
Medgyesegyháza,"Hungary, Bekes County","populated placepopulation 4,037",N 46° 30' 0'',E 21° 2' 0'',Town,Mezőkovácsháza,"4,944","4,340","4,098","3,698","3,451"
Méhkerék,"Hungary, Bekes County","populated placepopulation 2,274",N 46° 47' 0'',E 21° 27' 0'',Village,Sarkad,"2,446","2,290","2,315","2,093","1,945"
Mezőberény,"Hungary, Bekes County","populated placepopulation 11,306",N 46° 49' 0'',E 21° 2' 0'',Town,Békés,"11,848","11,592","11,389","10,632","9,809"
Mezőgyán,"Hungary, Bekes County",populated place,N 46° 52' 0'',E 21° 32' 0'',Village,Sarkad,"1,805","1,427","1,315","1,104",934
Mezőhegyes,"Hungary, Bekes County","populated placepopulation 6,220",N 46° 19' 0'',E 20° 49' 0'',Town,Mezőkovácsháza,"7,416","7,100","6,399","5,712","4,945"
Mezőkovácsháza,"Hungary, Bekes County","seat of a second-order administrative divisionpopulation 6,877",N 46° 24' 0'',E 20° 55' 0'',Town,Mezőkovácsháza,"7,219","7,016","7,006","6,177","5,787"
Murony,"Hungary, Bekes County",populated place,N 46° 46' 0'',E 21° 3' 0'',Village,Békés,"1,530","1,445","1,449","1,243","1,095"
Nagybánhegyes,"Hungary, Bekes County",populated place,N 46° 28' 0'',E 20° 54' 0'',Village,Mezőkovácsháza,"1,956","1,802","1,490","1,248","1,162"
Nagykamarás,"Hungary, Bekes County",populated place,N 46° 28' 0'',E 21° 7' 0'',Village,Mezőkovácsháza,"2,233","1,842","1,686","1,463","1,255"
Nagyszénás,"Hungary, Bekes County","populated placepopulation 5,617",N 46° 41' 0'',E 20° 40' 0'',Large Village,Orosháza,"6,433","6,031","5,704","5,046","4,634"
Okány,"Hungary, Bekes County","populated placepopulation 2,930",N 46° 54' 0'',E 21° 21' 0'',Village,Sarkad,"3,455","3,075","2,969","2,590","2,377"
Örménykút,"Hungary, Bekes County",populated place,N 46° 51' 0'',E 20° 47' 0'',Village,Szarvas,846,616,526,366,320
Orosháza,"Hungary, Bekes County","seat of a second-order administrative divisionpopulation 31,373",N 46° 34' 0'',E 20° 40' 0'',Town,Orosháza,"36,255","34,526","31,764","29,081","27,236"
Pusztaföldvár,"Hungary, Bekes County","populated placepopulation 1,887",N 46° 32' 0'',E 20° 48' 0'',Village,Orosháza,"2,175","2,075","1,967","1,778","1,472"
Pusztaottlaka,"Hungary, Bekes County",populated place,N 46° 33' 0'',E 20° 59' 0'',Village,Mezőkovácsháza,683,501,437,351,322
Sarkad,"Hungary, Bekes County","seat of a second-order administrative divisionpopulation 10,698",N 46° 45' 0'',E 21° 23' 0'',Town,Sarkad,"11,791","10,958","10,818","10,020","9,540"
Sarkadkeresztúr,"Hungary, Bekes County",populated place,N 46° 48' 0'',E 21° 23' 0'',Village,Sarkad,"2,204","1,996","1,844","1,563","1,446"
Szabadkígyós,"Hungary, Bekes County","populated placepopulation 2,959",N 46° 37' 0'',E 21° 6' 0'',Village,Békéscsaba,"2,738","3,017","2,951","2,553","2,426"
Szarvas,"Hungary, Bekes County","seat of a second-order administrative divisionpopulation 18,170",N 46° 52' 0'',E 20° 33' 0'',Town,Szarvas,"20,608","18,934","18,497","16,954","15,606"
Szeghalom,"Hungary, Bekes County","seat of a second-order administrative divisionpopulation 9,985",N 47° 2' 0'',E 21° 10' 0'',Town,Szeghalom,"10,704","10,462","10,198","9,290","8,566"
Tarhos,"Hungary, Bekes County",populated place,N 46° 49' 0'',E 21° 13' 0'',Village,Békés,"1,340","1,117","1,079",786,766
Telekgerendás,"Hungary, Bekes County",populated place,N 46° 39' 0'',E 20° 58' 0'',Village,Békéscsaba,"1,617","1,584","1,647","1,461","1,324"
Tótkomlós,"Hungary, Bekes County","populated placepopulation 6,497",N 46° 25' 0'',E 20° 44' 0'',Town,Orosháza,"7,776","6,936","6,547","6,016","5,615"
Újkígyós,"Hungary, Bekes County","populated placepopulation 5,602",N 46° 35' 0'',E 21° 2' 0'',Town,Békéscsaba,"5,557","5,716","5,707","5,196","4,897"
Újszalonta,"Hungary, Bekes County",populated place,N 46° 48' 0'',E 21° 30' 0'',Village,Sarkad,224,158,131,101,99
Végegyháza,"Hungary, Bekes County",populated place,N 46° 23' 0'',E 20° 52' 0'',Village,Mezőkovácsháza,"2,095","1,794","1,617","1,447","1,278"
Vésztő,"Hungary, Bekes County","populated placepopulation 7,494",N 46° 55' 0'',E 21° 16' 0'',Town,Szeghalom,"8,564","7,820","7,571","6,986","6,488"
Zsadány,"Hungary, Bekes County",populated place,N 46° 55' 0'',E 21° 30' 0'',Village,Sarkad,"2,175","1,885","1,780","1,708","1,670"
Abaújalpár,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 18' 24'',E 21° 13' 59'',Village,Gönc,174,132,103,79,49
Abaújkér,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 18' 0'',E 21° 12' 0'',Village,Gönc,809,726,722,768,575
Abaújlak,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 24' 0'',E 20° 58' 0'',Village,Szikszó,212,143,98,76,69
Abaújszántó,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 3,147",N 48° 17' 0'',E 21° 12' 0'',Town,Gönc,"3,784","3,565","3,545","3,147","2,906"
Abaújszolnok,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 22' 0'',E 20° 59' 0'',Village,Szikszó,235,143,151,177,176
Abaújvár,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 32' 0'',E 21° 19' 0'',Village,Gönc,403,328,323,221,217
Abod,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 24' 0'',E 20° 48' 0'',Village,Edelény,501,349,276,210,174
Aggtelek,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 28' 0'',E 20° 31' 0'',Village,Putnok,674,577,647,580,506
Alacska,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 13' 0'',E 20° 39' 0'',Village,Kazincbarcika,881,898,883,790,702
Alsóberecki,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 21' 0'',E 21° 42' 0'',Village,Sátoraljaújhely,772,780,801,729,713
Alsódobsza,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 11' 0'',E 21° 0' 0'',Village,Szerencs,502,401,412,298,274
Alsógagy,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 24' 0'',E 21° 2' 0'',Village,Encs,199,146,104,86,71
Alsóregmec,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 28' 0'',E 21° 37' 0'',Village,Sátoraljaújhely,344,245,222,183,188
Alsószuha,"Hungary, Borsod-Abaúj-Zemplén",populated placepopulation 475,N 48° 22' 17'',E 20° 30' 16'',Village,Putnok,549,508,536,436,406
Alsótelekes,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 25' 0'',E 20° 40' 0'',Village,Kazincbarcika,272,200,161,146,131
Alsóvadász,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 15' 0'',E 20° 55' 0'',Village,Szikszó,"1,630","1,454","1,532","1,562","1,454"
Alsózsolca,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 6,044",N 48° 4' 11'',E 20° 52' 49'',Town,Miskolc,"5,590","5,723","6,044","5,766","5,619"
Arka,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 21' 0'',E 21° 15' 0'',Village,Gönc,193,126,117,60,61
Arló,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 4,129",N 48° 11' 0'',E 20° 16' 0'',Large Village,Ózd,"4,214","3,920","4,121","3,775","3,521"
Arnót,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 2,493",N 48° 7' 50'',E 20° 51' 29'',Village,Miskolc,"1,560","2,082","2,557","2,597","2,298"
Ároktő,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 44' 0'',E 20° 57' 0'',Village,Mezőcsát,"1,560","1,361","1,251","1,120","1,109"
Aszaló,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 2,008",N 48° 13' 0'',E 20° 58' 0'',Village,Szikszó,"1,989","1,868","2,008","1,880","1,831"
Baktakék,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 23' 0'',E 21° 2' 0'',Village,Encs,791,740,740,772,745
Balajt,"Hungary, Borsod-Abaúj-Zemplén",populated placepopulation 456,N 48° 19' 15'',E 20° 47' 16'',Village,Edelény,573,422,427,462,495
Bánhorváti,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 14' 0'',E 20° 31' 0'',Village,Kazincbarcika,"1,817","1,751","1,592","1,395","1,317"
Bánréve,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 18' 0'',E 20° 22' 0'',Village,Putnok,"1,495","1,463","1,449","1,337","1,220"
Baskó,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 20' 0'',E 21° 20' 0'',Village,Gönc,376,269,234,166,149
Becskeháza,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 31' 46'',E 20° 50' 7'',Village,Edelény,107,77,53,36,41
Bekecs,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 2,446",N 48° 9' 0'',E 21° 11' 0'',Village,Szerencs,"2,041","2,180","2,503","2,494","2,364"
Berente,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 14' 0'',E 20° 40' 0'',Village,Kazincbarcika,"1,894","1,163","1,077","1,138","1,159"
Beret,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 21' 0'',E 21° 2' 0'',Village,Encs,321,251,253,264,292
Berzék,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 1' 0'',E 20° 57' 0'',Village,Miskolc,920,903,"1,029","1,121","1,108"
Bőcs,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 2,677",N 48° 3' 0'',E 20° 58' 0'',Village,Miskolc,"2,485","2,521","2,673","2,730","2,594"
Bodroghalom,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 18' 0'',E 21° 43' 0'',Village,Cigánd,"1,664","1,453","1,401","1,381","1,331"
Bodrogkeresztúr,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 10' 0'',E 21° 22' 0'',Village,Tokaj,"1,754","1,506","1,286","1,161","1,050"
Bodrogkisfalud,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 11' 0'',E 21° 22' 0'',Village,Tokaj,"1,121","1,014",986,904,880
Bodrogolaszi,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 17' 0'',E 21° 31' 0'',Village,Sárospatak,"1,125",869,952,906,862
Bódvalenke,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 32' 32'',E 20° 48' 15'',Village,Edelény,220,188,178,186,241
Bódvarákó,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 31' 0'',E 20° 45' 0'',Village,Edelény,242,203,144,87,84
Bódvaszilas,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 32' 0'',E 20° 44' 0'',Village,Edelény,"1,235","1,217","1,256","1,101","1,024"
Bogács,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 2,112",N 47° 54' 0'',E 20° 32' 0'',Village,Mezőkövesd,"2,088","1,988","2,062","1,952","1,890"
Boldogkőújfalu,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 19' 6'',E 21° 14' 29'',Village,Gönc,666,548,581,565,594
Boldogkőváralja,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 20' 0'',E 21° 14' 0'',Village,Gönc,"1,181","1,136","1,185","1,067","1,087"
Boldva,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 2,456",N 48° 13' 0'',E 20° 48' 0'',Village,Edelény,"2,288","2,301","2,422","2,357","2,304"
Borsodbóta,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 13' 0'',E 20° 24' 0'',Village,Ózd,"1,076",956,934,898,832
Borsodgeszt,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 57' 0'',E 20° 42' 0'',Village,Mezőkövesd,436,361,312,252,262
Borsodivánka,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 42' 0'',E 20° 40' 0'',Village,Mezőkövesd,744,770,757,746,707
Borsodnádasd,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 3,546",N 48° 7' 0'',E 20° 15' 0'',Town,Ózd,"4,381","3,874","3,592","3,169","3,073"
Borsodszentgyörgy,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 11' 0'',E 20° 12' 0'',Village,Ózd,"1,481","1,440","1,365","1,175","1,178"
Borsodszirák,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 16' 0'',E 20° 46' 0'',Village,Edelény,"1,089","1,134","1,185","1,178","1,149"
Bózsva,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 28' 0'',E 21° 28' 0'',Village,Sátoraljaújhely,321,250,223,173,177
Bükkábrány,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 53' 0'',E 20° 41' 0'',Village,Mezőkövesd,"1,869","1,796","1,801","1,660","1,667"
Bükkaranyos,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 59' 0'',E 20° 47' 0'',Village,Miskolc,"1,171","1,122","1,393","1,448","1,482"
Bükkmogyorósd,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 7' 44'',E 20° 21' 20'',Village,Ózd,314,247,192,128,127
Bükkszentkereszt,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 4' 0'',E 20° 38' 0'',Village,Miskolc,"1,375","1,374","1,274","1,206","1,127"
Bükkzsérc,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 58' 0'',E 20° 30' 0'',Village,Mezőkövesd,"1,342","1,230","1,120",996,918
Büttös,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 29' 0'',E 21° 1' 0'',Village,Encs,365,288,256,175,151
Cigánd,"Hungary, Borsod-Abaúj-Zemplén","seat of a second-order administrative divisionpopulation 3,245",N 48° 15' 20'',E 21° 53' 31'',Town,Cigánd,"3,772","3,226","3,193","2,963","3,008"
Csenyéte,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 26' 0'',E 21° 3' 0'',Village,Encs,359,261,396,390,382
Cserépfalu,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 56' 0'',E 20° 32' 0'',Village,Mezőkövesd,"1,394","1,208","1,108","1,039",942
Cserépváralja,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 56' 0'',E 20° 34' 0'',Village,Mezőkövesd,665,568,562,386,348
Csernely,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 9' 0'',E 20° 21' 0'',Village,Ózd,"1,292","1,091",998,791,689
Csincse,"Hungary, Borsod-Abaúj-Zemplén",populated placepopulation 580,N 47° 53' 13'',E 20° 46' 5'',Village,Mezőkövesd,616,613,626,592,536
Csobád,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 17' 0'',E 21° 2' 0'',Village,Encs,823,708,705,679,704
Csobaj,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 3' 0'',E 21° 21' 0'',Village,Tokaj,988,821,812,723,656
Csokvaomány,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 10' 0'',E 20° 23' 0'',Village,Ózd,"1,386","1,103","1,014",909,798
Damak,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 19' 0'',E 20° 50' 0'',Village,Edelény,324,278,276,244,239
Dámóc,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 22' 30'',E 22° 2' 1'',Village,Cigánd,618,469,438,362,318
Debréte,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 30' 0'',E 20° 52' 0'',Village,Edelény,60,43,30,14,10
Dédestapolcsány,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 11' 0'',E 20° 29' 0'',Village,Kazincbarcika,"1,771","1,732","1,639","1,525","1,468"
Detek,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 20' 0'',E 21° 2' 0'',Village,Encs,441,328,304,270,238
Domaháza,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 11' 0'',E 20° 7' 0'',Village,Ózd,"1,166","1,065","1,027",844,747
Dövény,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 21' 0'',E 20° 33' 0'',Village,Putnok,373,329,314,303,271
Dubicsány,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 17' 0'',E 20° 30' 0'',Village,Putnok,373,286,337,270,207
Edelény,"Hungary, Borsod-Abaúj-Zemplén","seat of a second-order administrative divisionpopulation 11,037",N 48° 18' 0'',E 20° 44' 0'',Town,Edelény,"10,818","10,741","11,084","9,896","9,358"
Egerlövő,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 47° 43' 0'',E 20° 38' 0'',Village,Mezőkövesd,752,633,605,525,489
Égerszög,"Hungary, Borsod-Abaúj-Zemplén",populated place,N 48° 27' 0'',E 20° 35' 0'',Village,Edelény,155,105,87,47,54
Emőd,"Hungary, Borsod-Abaúj-Zemplén","populated placepopulation 5,382",N 47° 56' 0'',E 20° 49' 0'',Town,Miskolc,"5,635","5,422","5,414","5,007","4,641"
